Hour of Date/Time m/d/y H:M (Meteorological),Measure Names,Measure Values
4/26/2018 14:00,8,
4/26/2018 15:00,8,45.755
4/26/2018 16:00,8,45.5125
4/26/2018 17:00,8,45.4525
4/26/2018 18:00,8,45.335
4/26/2018 19:00,8,44.9875
4/26/2018 20:00,8,45.695
4/26/2018 21:00,8,45.2425
4/26/2018 22:00,8,45.2125
4/26/2018 23:00,8,45.5375
4/27/2018 0:00,8,45.695
4/27/2018 1:00,8,46.6375
4/27/2018 2:00,8,47.1575
4/27/2018 3:00,8,47.12666667
4/27/2018 4:00,8,47.6575
4/27/2018 5:00,8,47.665
4/27/2018 6:00,8,47.6275
4/27/2018 7:00,8,47.20666667
4/27/2018 8:00,8,47.09
4/27/2018 9:00,8,47.8
4/26/2018 14:00,6,
4/26/2018 15:00,6,46.08
4/26/2018 16:00,6,45.935
4/26/2018 17:00,6,45.8525
4/26/2018 18:00,6,46.14
4/26/2018 19:00,6,46.1125
4/26/2018 20:00,6,47.2525
4/26/2018 21:00,6,47.3425
4/26/2018 22:00,6,46.9975
4/26/2018 23:00,6,47.1075
4/27/2018 0:00,6,47.1725
4/27/2018 1:00,6,47.655
4/27/2018 2:00,6,47.6275
4/27/2018 3:00,6,47.40666667
4/27/2018 4:00,6,47.875
4/27/2018 5:00,6,47.93
4/27/2018 6:00,6,48.025
4/27/2018 7:00,6,47.89333333
4/27/2018 8:00,6,47.98
4/27/2018 9:00,6,48.29
4/26/2018 14:00,5,
4/26/2018 15:00,5,46.3625
4/26/2018 16:00,5,46.2475
4/26/2018 17:00,5,46.225
4/26/2018 18:00,5,46.5
4/26/2018 19:00,5,47.115
4/26/2018 20:00,5,47.52
4/26/2018 21:00,5,47.6125
4/26/2018 22:00,5,47.705
4/26/2018 23:00,5,47.965
4/27/2018 0:00,5,47.89
4/27/2018 1:00,5,48.08
4/27/2018 2:00,5,47.84
4/27/2018 3:00,5,47.86
4/27/2018 4:00,5,48.14
4/27/2018 5:00,5,48.1525
4/27/2018 6:00,5,48.3525
4/27/2018 7:00,5,48.385
4/27/2018 8:00,5,48.3
4/27/2018 9:00,5,48.5025
4/26/2018 14:00,4,
4/26/2018 15:00,4,46.36
4/26/2018 16:00,4,46.3425
4/26/2018 17:00,4,46.6275
4/26/2018 18:00,4,46.68
4/26/2018 19:00,4,47.045
4/26/2018 20:00,4,47.39
4/26/2018 21:00,4,47.5275
4/26/2018 22:00,4,47.79
4/26/2018 23:00,4,48.045
4/27/2018 0:00,4,48.045
4/27/2018 1:00,4,47.995
4/27/2018 2:00,4,47.7625
4/27/2018 3:00,4,47.93333333
4/27/2018 4:00,4,47.995
4/27/2018 5:00,4,48.045
4/27/2018 6:00,4,48.47
4/27/2018 7:00,4,48.48666667
4/27/2018 8:00,4,48.34666667
4/27/2018 9:00,4,48.64
4/26/2018 14:00,2,
4/26/2018 15:00,2,48.02
4/26/2018 16:00,2,47.555
4/26/2018 17:00,2,47.44
4/26/2018 18:00,2,47.6175
4/26/2018 19:00,2,47.6425
4/26/2018 20:00,2,47.565
4/26/2018 21:00,2,47.9
4/26/2018 22:00,2,48.195
4/26/2018 23:00,2,48.28
4/27/2018 0:00,2,48.4125
4/27/2018 1:00,2,48.3275
4/27/2018 2:00,2,48.155
4/27/2018 3:00,2,48.21
4/27/2018 4:00,2,48.1775
4/27/2018 5:00,2,48.6025
4/27/2018 6:00,2,48.995
4/27/2018 7:00,2,48.78
4/27/2018 8:00,2,48.5325
4/27/2018 9:00,2,48.8425
4/26/2018 14:00,10,
4/26/2018 15:00,10,44.1075
4/26/2018 16:00,10,42.9
4/26/2018 17:00,10,43.58
4/26/2018 18:00,10,44.0475
4/26/2018 19:00,10,43.74
4/26/2018 20:00,10,44.305
4/26/2018 21:00,10,43.7475
4/26/2018 22:00,10,44.1775
4/26/2018 23:00,10,44.14
4/27/2018 0:00,10,44.46
4/27/2018 1:00,10,45.565
4/27/2018 2:00,10,46.5925
4/27/2018 3:00,10,45.57666667
4/27/2018 4:00,10,46.39
4/27/2018 5:00,10,46.4225
4/27/2018 6:00,10,46.5075
4/27/2018 7:00,10,46.19333333
4/27/2018 8:00,10,46.27333333
4/27/2018 9:00,10,46.87
4/26/2018 14:00,1.7,
4/26/2018 15:00,1.7,48.1675
4/26/2018 16:00,1.7,47.635
4/26/2018 17:00,1.7,47.37
4/26/2018 18:00,1.7,47.6625
4/26/2018 19:00,1.7,47.5775
4/26/2018 20:00,1.7,47.4325
4/26/2018 21:00,1.7,47.86
4/26/2018 22:00,1.7,48.055
4/26/2018 23:00,1.7,48.165
4/27/2018 0:00,1.7,48.3375
4/27/2018 1:00,1.7,48.195
4/27/2018 2:00,1.7,48.055
4/27/2018 3:00,1.7,48.11
4/27/2018 4:00,1.7,48.1125
4/27/2018 5:00,1.7,48.675
4/27/2018 6:00,1.7,48.915
4/27/2018 7:00,1.7,48.59666667
4/27/2018 8:00,1.7,48.45
4/27/2018 9:00,1.7,48.91
